"Date","Mean Prediction (Flow)","Max 95% CI (Flow)","Min 95% CI (Flow)"
2024-01-01,24.53,110.53,5.44
2024-02-01,35.78,161.2,7.94
2024-03-01,29.07,130.99,6.45
2024-04-01,38.29,172.54,8.5
2024-05-01,165.21,744.37,36.67
2024-06-01,694.47,3129,154.13
2024-07-01,94.43,425.48,20.96
2024-08-01,65.49,295.08,14.54
2024-09-01,38,171.22,8.43
2024-10-01,34.63,156.04,7.69
2024-11-01,15.4,69.38,3.42
2024-12-01,22.19,99.97,4.92
2025-01-01,18.25,82.23,4.05
2025-02-01,40.19,181.1,8.92
2025-03-01,33.36,150.31,7.4
2025-04-01,69.36,312.5,15.39
2025-05-01,234.31,1055.73,52
2025-06-01,297.81,1341.83,66.1
2025-07-01,83.37,375.62,18.5
2025-08-01,84.4,380.28,18.73
2025-09-01,31.59,142.32,7.01
2025-10-01,33.82,152.38,7.51
2025-11-01,14.54,65.52,3.23
2025-12-01,15.57,70.17,3.46
2026-01-01,17.61,79.35,3.91
2026-02-01,35.27,158.9,7.83
2026-03-01,62.19,280.21,13.8
2026-04-01,53.72,242.03,11.92
2026-05-01,184.33,830.52,40.91
2026-06-01,393.18,1771.54,87.27
2026-07-01,120.84,544.47,26.82
2026-08-01,65.13,293.44,14.45
2026-09-01,35.94,161.92,7.98
2026-10-01,36.58,164.83,8.12
2026-11-01,13.59,61.24,3.02
2026-12-01,19.47,87.71,4.32
2027-01-01,20.06,90.39,4.45
2027-02-01,39.87,179.65,8.85
2027-03-01,72.45,326.41,16.08
2027-04-01,61.37,276.5,13.62
2027-05-01,312.51,1408.07,69.36
2027-06-01,307.8,1386.81,68.31
2027-07-01,202.47,912.25,44.94
2027-08-01,86.88,391.43,19.28
2027-09-01,30.69,138.27,6.81
2027-10-01,33.68,151.75,7.48
2027-11-01,16.03,72.21,3.56
2027-12-01,15.85,71.42,3.52
2028-01-01,14.66,66.07,3.25
2028-02-01,27.49,123.86,6.1
2028-03-01,28.62,128.94,6.35
2028-04-01,49.47,222.89,10.98
2028-05-01,142.01,639.85,31.52
2028-06-01,283.25,1276.23,62.87
2028-07-01,107.72,485.34,23.91
2028-08-01,62.26,280.5,13.82
2028-09-01,29.25,131.77,6.49
2028-10-01,28.46,128.22,6.32
2028-11-01,13.33,60.04,2.96
2028-12-01,18.53,83.48,4.11
2029-01-01,17.82,80.28,3.95
2029-02-01,24.26,109.28,5.38
2029-03-01,39.39,177.48,8.74
2029-04-01,57.78,260.32,12.82
2029-05-01,281.5,1268.35,62.48
2029-06-01,234.96,1058.63,52.15
2029-07-01,81.02,365.06,17.98
2029-08-01,58.2,262.23,12.92
2029-09-01,47.12,212.3,10.46
2029-10-01,59.68,268.88,13.24
2029-11-01,11.85,53.4,2.63
2029-12-01,15.86,71.46,3.52
2030-01-01,17.41,78.42,3.86
2030-02-01,30.16,135.9,6.69
2030-03-01,36.29,163.49,8.05
2030-04-01,46.58,209.88,10.34
2030-05-01,145.3,654.65,32.25
2030-06-01,231.75,1044.17,51.44
2030-07-01,77.85,350.74,17.28
2030-08-01,80.89,364.46,17.95
2030-09-01,28,126.17,6.21
2030-10-01,31.64,142.57,7.02
2030-11-01,14.71,66.27,3.26
2030-12-01,19.79,89.16,4.39
2031-01-01,19.87,89.51,4.41
2031-02-01,25.4,114.43,5.64
2031-03-01,21.14,95.27,4.69
2031-04-01,92.22,415.53,20.47
2031-05-01,142.29,641.1,31.58
2031-06-01,213.58,962.3,47.4
2031-07-01,70.33,316.88,15.61
2031-08-01,119.26,537.35,26.47
2031-09-01,35.6,160.41,7.9
2031-10-01,24.36,109.74,5.41
2031-11-01,10.7,48.22,2.38
2031-12-01,14.96,67.4,3.32
2032-01-01,14.4,64.9,3.2
2032-02-01,18.89,85.1,4.19
2032-03-01,27.36,123.26,6.07
2032-04-01,28.49,128.37,6.32
2032-05-01,213.2,960.62,47.32
2032-06-01,542.18,2442.84,120.33
2032-07-01,58.76,264.77,13.04
2032-08-01,54.45,245.32,12.08
2032-09-01,30.33,136.64,6.73
2032-10-01,25.05,112.87,5.56
2032-11-01,10.29,46.38,2.28
2032-12-01,13.33,60.04,2.96
2033-01-01,12.95,58.33,2.87
2033-02-01,35.04,157.89,7.78
2033-03-01,24.29,109.43,5.39
2033-04-01,75.2,338.81,16.69
2033-05-01,209.36,943.28,46.47
2033-06-01,258.8,1166.05,57.44
2033-07-01,62.48,281.52,13.87
2033-08-01,40.6,182.93,9.01
2033-09-01,29.32,132.1,6.51
2033-10-01,27.52,124,6.11
2033-11-01,9.45,42.58,2.1
2033-12-01,11.52,51.93,2.56
